feature_name,weight,abs_weight
price_to_ema_5,-2.016023171625373,2.016023171625373
price_to_sma_100,-1.6626995432181215,1.6626995432181215
price_to_sma_20,1.5618730328336827,1.5618730328336827
price_to_ema_100,-1.4661843857745098,1.4661843857745098
price_to_sma_50,-1.3928357920041636,1.3928357920041636
price_to_ema_50,-1.045165802059955,1.045165802059955
price_to_sma_10,1.004898803410289,1.004898803410289
price_to_sma_5,0.3006937713196331,0.3006937713196331
price_to_ema_10,0.2241915188154085,0.2241915188154085
intercept,-0.18871203442020457,0.18871203442020457
ema_20,0.13241967573835609,0.13241967573835609
price_to_ema_20,-0.11226302745969093,0.11226302745969093
return_lag_3,-0.09369398923396931,0.09369398923396931
ema_10,-0.0888135526270999,0.0888135526270999
ema_100,-0.0863397528226739,0.0863397528226739
return_lag_5,-0.059472245741403106,0.059472245741403106
ema_50,-0.029467869652004923,0.029467869652004923
ema_5,0.029388591823987016,0.029388591823987016
price_change_pct,-0.026279452964280227,0.026279452964280227
return_lag_1,-0.026279452964280227,0.026279452964280227
return_lag_2,0.02013967946648072,0.02013967946648072
return_lag_10,0.019292250354702452,0.019292250354702452
sma_100,0.013527811737086675,0.013527811737086675
sma_10,-0.008270370129153,0.008270370129153
sma_20,-0.007722875363518854,0.007722875363518854
sma_50,0.00609745189186776,0.00609745189186776
sma_5,-0.0035167560059392003,0.0035167560059392003
volatility_20,-0.0018707567601592458,0.0018707567601592458
volatility_10,-0.0004844693261422412,0.0004844693261422412
price_change,-0.00046783567302472053,0.00046783567302472053
volatility_5,-0.00022371902907166282,0.00022371902907166282
